Lex	Type	Regex	Direction	Unnamed: 4	Unnamed: 5	Unnamed: 6	Codes
adenocarcinoma of the lung	9_Lung_and_Other_Severe_Cancers	adenocarcinoma\sof\sthe\slung					
lymphoma	10_Lymphoma_and_Other_Cancers	lymphoma					
TURBT	"11_Colorectal,_Bladder,_and_Other_Cancers"	TURBT					
Cystoprostatectomy	"11_Colorectal,_Bladder,_and_Other_Cancers"	Cystoprostatectomy					
hemicolectomy	"11_Colorectal,_Bladder,_and_Other_Cancers"	hemicolectomy					
renal cell carcinoma	"11_Colorectal,_Bladder,_and_Other_Cancers"	renal\scell\scarcinoma					
renal neoplasm	"11_Colorectal,_Bladder,_and_Other_Cancers"	renal\sneoplasm					
lumpectomy	"12_Breast,_Prostate,_and_Other_Cancers_and_Tumors"	lumpectomy					
prostate neoplasm	"12_Breast,_Prostate,_and_Other_Cancers_and_Tumors"	prostate\sneoplasm					
gleason	"12_Breast,_Prostate,_and_Other_Cancers_and_Tumors"	gleason					
cortical atrophy	52_Dementia_without_Complication	cortical\satrophy					
meningioma	"12_Breast,_Prostate,_and_Other_Cancers_and_Tumors"	meningioma					
parathyroid	23_Other_significant_endocrine_and_metabolic_disorders	parathyroid					
nodular hepatic	28_Cirrhosis_of_Liver	nodular\shepatic					
COPD	111_Chronic_Obstructive_Pulmonary_Disease	COPD					
amputation	"189_Amputation_Status,_Lower Limb_or_Amputation_Complication"	amputation					
pacemaker	88_Specified_Heart_Arrhythmias	pacemaker					
AICD	88_Specified_Heart_Arrhythmias	AICD					
pressure ulcer	158_Pressure_Ulcer_of_Skin_with_Full_Thickness_Skin_Loss	pressure\sulcer					
decubitus ulcer	158_Pressure_Ulcer_of_Skin_with_Full_Thickness_Skin_Loss	decubitus\sulcer					
diabetic foot	106_Atherosclerosis_of_Extremity_with_Ulceration_or_Gangrene	diabetic\sfoot					
crohn	35_Inflammatory_Bowel_Disease	crohn					
ulcerative colitis	35_Inflammatory_Bowel_Disease	ulcerative\scolitis					
rheumatoid	40_Rheumatoid_Arthritis_and_Inflammatory_Connective_Tissue_Disease	rheumatoid					
multiple sclerosis	77_Multiple_Sclerosis	multiple\ssclerosis					
demyelinating plaque	77_Multiple_Sclerosis	demyelinating\splaque					
pulmonary edema	85_Congestive_Heart_Failure	pulmonary\sedema					
subclavian artery stenosis	107_Vascular_Disease_with_Complications	subclavian\sartery\sstenosis					
narrowing of the subclavian artery	107_Vascular_Disease_with_Complications	narrowing\sof\sthe\ssubclavian\sartery					
focal dissection	107_Vascular_Disease_with_Complications	focal\sdissection					
arterial dissection	107_Vascular_Disease_with_Complications	arterial\sdissection					
aortic dissection	107_Vascular_Disease_with_Complications	aortic\sdissection					
centrilobular emphysema	111_Chronic_Obstructive_Pulmonary_Disease	centrilobular\semphysema					
paraseptal emphysema	111_Chronic_Obstructive_Pulmonary_Disease	paraseptal\semphysema					
panlobular emphysema	111_Chronic_Obstructive_Pulmonary_Disease	panlobular\semphysema					
cicatricial emphysema	111_Chronic_Obstructive_Pulmonary_Disease	cicatricial\semphysema					
